Section,ID,Priority,Test Step,Expected Result,th,en,zh,Pass,Fail,Notes,Tester,Date
Setup,0.1,P0,Open /api/health,JSON status ok,,,,,,
Setup,0.2,P0,Open /robots.txt,Allow / and sitemap URL,,,,,,
Setup,0.3,P0,Open /sitemap.xml,URLs for th en zh locales,,,,,,
Setup,0.4,P1,Open /opengraph-image,OG image 1200x630 loads,,,,,,
Setup,0.5,P1,Verify NEXT_PUBLIC_SITE_URL,Canonical points to production,,,,,,
i18n,1.1.1,P0,Switch locale on home,URL and content update without error,,,,,,
i18n,1.1.2,P0,Switch locale on detail page,Same path different locale prefix,,,,,,
i18n,1.1.3,P1,Switch th→en→zh→th,Returns to correct page,,,,,,
i18n,1.2.1,P0,Check nav and footer all pages,Labels translated per locale,,,,,,
i18n,1.3.1,P0,Categories (5) on home bento,th=DB en/zh=content pack,,,,
i18n,1.3.2,P0,Platform detail creator-specific,Platform text localized,,,,
i18n,1.3.3,P0,Feature detail vote,Feature text localized,,,,
i18n,1.3.4,P1,App detail foxy,Description localized app name from DB,,,,
i18n,1.3.5,P0,News mrfox-ecosystem-launch,Title excerpt content localized,,,,
i18n,1.3.6,P1,News date format,th-TH / en-US / zh-CN,,,,
i18n,1.3.7,P2,Download button empty state,Still Thai (known gap),,,,,,
Home,2.1,P0,Home hero CTAs,Link to /platforms and /apps,,,,,,
Home,2.2,P1,Stats row,Counts match DB,,,,,,
Home,2.3,P1,Ecosystem bento,5 categories with platform types,,,,,,
Home,2.4,P1,Platform grid (6),Cards link to detail,,,,,,
Home,2.5,P0,Featured apps (4),Download buttons work,,,,,,
Home,2.6,P1,Core features (6),Link to feature detail,,,,,,
Home,2.7,P0,Latest news (3),Published only,,,,,,
Platforms,3.1.1,P0,/platforms list,10 platform types shown,,,,,,
Platforms,3.2.1,P0,Each of 10 platform slugs,Hero models matrix permissions revenue,,,,,,
Platforms,3.2.2,P0,creator-specific feature matrix,Group B rows feature names localized,,,,,,
Platforms,3.2.3,P1,Invalid platform slug,404,,,,,,
Apps,4.1.1,P0,/apps list,6 applications,,,,,,
Apps,4.1.2,P0,Filter ?q=foxy,FOXY found,,,,,,
Apps,4.1.3,P1,Filter ?category=creator,Filtered correctly,,,,,,
Apps,4.1.4,P1,Filter ?platform=creator-specific,Filtered correctly,,,,,,
Apps,4.1.5,P1,No results,Empty state shown,,,,,,
Apps,4.2.1,P0,Each of 6 app slugs,Detail downloads related apps,,,,,,
Apps,4.2.2,P0,foxy download click,Opens URL tracks download,,,,,,
Features,5.1.1,P0,/features list,18 Group B only,,,,,,
Features,5.2.1,P1,vote feature detail,Workflow revenue used-by,,,,,,
News,6.1.1,P0,/news list,Published only newest first,,,,,,
News,6.1.2,P0,3 seed news slugs,All open on public,,,,,,
News,6.2.1,P0,Admin create draft,Hidden public 404 on detail,,,,,,
News,6.2.2,P0,Admin create scheduled tomorrow,Hidden until Bangkok midnight,,,,,,
News,6.2.3,P0,Admin create published today,Visible on public,,,,,,
News,6.2.4,P1,Admin badge per state,Draft scheduled published correct,,,,,,
News,6.2.5,P1,View button disabled for draft,Tooltip explains,,,,,,
About,7.1.1,P1,/about vision mission,Roadmap 3 phases localized,,,,,,
Contact,7.2.1,P0,Submit contact general,Success message,,,,,,
Contact,7.2.2,P1,Submit business and partnership,Success each subject,,,,,,
Contact,7.2.3,P1,Empty required fields,Validation error,,,,,,
Contact,7.2.4,P2,Check admin audit log,contact_submit logged,,,,,,
Legal,7.3.1,P2,/privacy and /terms,Content per locale,,,,,,
Search,8.1.1,P0,?q= with 1 char,No search executed,,,,,,
Search,8.1.2,P0,?q=creator,Platform results,,,,,,
Search,8.1.3,P0,?q=foxy,App results,,,,,,
Search,8.1.4,P0,?q=vote,Feature results,,,,,,
Search,8.1.5,P1,?q=ecosystem,News results,,,,,,
Search,8.1.6,P1,?q=zzzznotfound,No results message,,,,,,
Search,8.1.7,P1,Draft news in search,Not included,,,,,,
Search,8.2.1,P2,GET /api/search?q=foxy,JSON with apps,,,,,,
Nav,9.1,P0,Header all links,Correct locale paths,,,,,,
Nav,9.2,P1,Download apps header,Opens link.mrfox.app new tab,,,,,,
Nav,9.3,P1,Mobile responsive,Layout OK,,,,,,
Downloads,10.1,P0,Click App Store on foxy,Opens + tracks,,,,,,
Downloads,10.2,P1,Admin analytics after click,Count increases,,,,,,
Downloads,10.3,P2,App without links,Disabled coming soon button,,,,,,
Admin Auth,11.1,P0,/admin no session,Redirect login,,,,,,
Admin Auth,11.2,P0,Wrong password,Error message Thai,,,,,,
Admin Auth,11.3,P0,Admin login success,Dashboard loads,,,,,,
Admin Auth,11.4,P0,Editor blocked from /admin/users,Redirect /admin,,,,,,
Admin Auth,11.5,P0,Logout,Cookie cleared,,,,,,
Admin CRUD,13.1.1,P1,Edit platform,Toast + public updated,,,,,,
Admin CRUD,13.2.1,P1,Create application,Toast success appears on public,,,,,,
Admin CRUD,13.3.1,P1,Edit feature,Toast + public updated,,,,,,
Admin CRUD,13.4.1,P0,Create edit delete news,All states work,,,,,,
Admin CRUD,13.5.1,P2,Create banner,No public display (known),,,,,,
Admin CRUD,13.6.1,P1,Upload image <10MB,Success toast,,,,,,
Admin CRUD,13.6.2,P1,Upload >10MB,Error,,,,,,
Admin CRUD,13.7.1,P2,Create user admin only,Editor cannot access,,,,,,
SEO,14.1,P1,Home page source,title canonical hreflang,,,,,,
SEO,14.2,P1,Platform detail metadata,Title matches localized name,,,,,,
SEO,14.3,P1,Sitemap dynamic slugs,Platforms apps features news,,,,,,
SEO,14.4,P2,Draft news not in sitemap,Confirmed absent,,,,,,
Edge,15.1,P0,Invalid slugs,404 all entity types,,,,,,
Edge,15.2,P1,Search form from /en/apps,Stays in locale,,,,,,
Known,L1,P2,Banners not on public,Documented accepted,,,,,,
Known,L2,P2,No app update in admin,Documented accepted,,,,,,
Known,L3,P2,Matrix not editable in admin,Documented accepted,,,,,,
Known,L4,P2,App names not i18n,Documented accepted,,,,,,
